Urls,Titulos,Categoria,Descripcion,Valoraciones,Precio,Estrellas,Fecha subida,Direccion,Num veces visto,Me gustas,Estado,Envio,Reservado,Url Usuario,Imagenes
https://es.wallapop.com/item/despiece-fiat-grande-punto-887508863,despiece-fiat-grande-punto,Otros,DESPIECE DE FIAT GRANDE PUNTO 1.4T-JET (120CV) DEL 2009.,0.0,11.0,0.0,31-mar-2023,Bértoa,0,0.0,Bueno,NO,NO,https://es.wallapop.com/app/user/galleguinar-379711074-pzpyvo73m4z3/published,"['https://cdn.wallapop.com/images/10420/eo/ee/__/c10420p887508863/i3215467611.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/ee/__/c10420p887508863/i3215467596.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/ee/__/c10420p887508863/i3215467607.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/ee/__/c10420p887508863/i3215467601.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/ee/__/c10420p887508863/i3215467603.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/ee/__/c10420p887508863/i3215467602.jpg?pictureSize=W640']"
https://es.wallapop.com/item/lote-de-hilos-de-seda-de-morera-100-autentica-887506322,lote-de-hilos-de-seda-de-morera-100-autentica,Otros,"Seda de morera natural (no acrílica) 1-Lana de seda para tejer-Color crudo, muy brillante y suave. 50 gramos aprox 2-Hilo de seda. Perfecto para bordar, punto de cruz etc. Color blanco puro brillante. 16 gramos aprox 3-Cordón de seda con aguja. Ancho de 0,45 mm. Para hacer collares, pulseras etc",8.0,14.0,5.0,31-mar-2023,Ourense,4,0.0,Nuevo,SI,SI,https://es.wallapop.com/app/user/laurac-399641057-xzo88rw2g469/published,['https://cdn.wallapop.com/images/10420/eo/ec/__/c10420p887506322/i3215449940.jpg?pictureSize=W640']
https://es.wallapop.com/item/camilla-887502023,camilla,Otros,Se vende camilla. Disponibilidad 2,5.0,60.0,5.0,31-mar-2023,Santiago de Compostela,2,0.0,Bueno,NO,NO,https://es.wallapop.com/app/user/vrp-356201226-pzpypempn4z3/published,"['https://cdn.wallapop.com/images/10420/eo/e8/__/c10420p887502023/i3215420568.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e8/__/c10420p887502023/i3215420638.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e8/__/c10420p887502023/i3215420615.jpg?pictureSize=W640']"
https://es.wallapop.com/item/peluca-cabello-natural-monalissa-887494996,peluca-cabello-natural-monalissa,Otros,"Peluca de cabello natural, en perfecto estado cosida a mano, en la foto está recién lavada y ese es su apecto sin usar secador ni plancha.",38.0,540.0,5.0,31-mar-2023,Cea,2,0.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/isas-56903743-evjr49v4q46k/published,"['https://cdn.wallapop.com/images/10420/eo/e3/__/c10420p887494996/i3215387695.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e3/__/c10420p887494996/i3215387730.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e3/__/c10420p887494996/i3215387727.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e3/__/c10420p887494996/i3215387728.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e3/__/c10420p887494996/i3215387731.jpg?pictureSize=W640']"
https://es.wallapop.com/item/mechero-de-gasolina-887493859,mechero-de-gasolina,Otros,"Vendo mechero de gasolina de la marca RANSON made in USA, metal cromado de principios SIGLO XX, funciona perfectamente.",113.0,40.0,5.0,31-mar-2023,Ribeira,3,0.0,Bueno,SI,NO,https://es.wallapop.com/app/user/todomecheros-416848974-pzp9rg581k63/published,"['https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375566.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375586.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375601.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375632.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375686.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375705.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375720.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375760.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e2/__/c10420p887493859/i3215375779.jpg?pictureSize=W640']"
https://es.wallapop.com/item/caja-de-navajas-arcos-887488141,caja-de-navajas-arcos,Otros,Vendo caja de navajas arcos contiene 12 unidades,40.0,25.0,5.0,31-mar-2023,Boiro,16,3.0,Nuevo,SI,NO,https://es.wallapop.com/app/user/manuelg-35395018-8x6qdn3x3njy/published,"['https://cdn.wallapop.com/images/10420/eo/dy/__/c10420p887488141/i3215347281.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/dy/__/c10420p887488141/i3215347283.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/dy/__/c10420p887488141/i3215347290.jpg?pictureSize=W640']"
https://es.wallapop.com/item/narwhal-4-50-887486225,narwhal-4-50,Otros,"Vendo semirrígida narwhal 4.50 en buen estado con motor Yamaha 50hp en perfecto estado y remolque, todo con su documentación al día.",11.0,4900.0,4.0,31-mar-2023,O Rosal,5,0.0,Como nuevo,NO,NO,https://es.wallapop.com/app/user/sergiom-28009072-ke6532ry0kzo/published,"['https://cdn.wallapop.com/images/10420/eo/dw/__/c10420p887486225/i3215327105.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/dw/__/c10420p887486225/i3215327106.jpg?pictureSize=W640']"
https://es.wallapop.com/item/cubo-de-rubik-original-de-los-primeros-en-salir-887484016,cubo-de-rubik-original-de-los-primeros-en-salir,Otros,Tiene muchísimos años pero gracias a un cuidado esta como recién sacado del envoltorio,3.0,20.0,5.0,31-mar-2023,Vilagarcía de Arousa,3,0.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/laurad-51184920-owzyror01e65/published,"['https://cdn.wallapop.com/images/10420/eo/dv/__/c10420p887484016/i3215302565.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/dv/__/c10420p887484016/i3215302569.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/dv/__/c10420p887484016/i3215302562.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/dv/__/c10420p887484016/i3215302567.jpg?pictureSize=W640']"
https://es.wallapop.com/item/moviliario-tienda-887500247,moviliario-tienda,urge,Por cierre de negocio urge venta precio por todo..por separado preguntar,3.0,3000.0,4.0,31-mar-2023,A Granxa de San Lazaro,2,1.0,Bueno,NO,NO,https://es.wallapop.com/app/user/begonap-17876154-qnzx54o53762/published,"['https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413181.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413188.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413193.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413202.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413215.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413220.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413225.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/e7/__/c10420p887500247/i3215413229.jpg?pictureSize=W640']"
https://es.wallapop.com/item/platos-para-pan-porcelana-francesa-887449572,platos-para-pan-porcelana-francesa,urge,"6 preciosos platos románticos cuadrados para pan , aperitivos o para lo que desees , nuevos , miden 13X 13 cm vintage decoración porcelana vajilla café té lechera cafetera artdeco cubertería mantelería plato platillo platito tazas tazones taza pocillo vaso loza cerámica salsera bandeja ensaladera postre merienda cena desayuno plata dorado oro antiguo antigua antigüedades coleccionista menaje set cubierto aperitivos invitados urge ganga lote bombonera botella Capeans lladró bidasoa Santa Clara Algora Manises Royal Albert Johnson Bros Rosenthal Germany Limoges porcelana francesa casa rural Sargadelos te",699.0,280.0,5.0,31-mar-2023,A Telleira,80,6.0,Nuevo,SI,SI,https://es.wallapop.com/app/user/juliav-33560605-dqjwp4d5xgzo/published,"['https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098790.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098829.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098850.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098868.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098875.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098888.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098903.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098916.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098931.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/eo/d4/__/c10420p887449572/i3215098938.jpg?pictureSize=W640']"
https://es.wallapop.com/item/mesa-de-cristal-887282060,mesa-de-cristal,urge,"Se vende mesa de cristal, en perfectas condiciones ya que tiene menos de un año de uso. Urge venta por mudanza. Las patas son metálicas con apariencia de madera. Medidas: 140cmx70cm",2.0,60.0,5.0,31-mar-2023,Vigo,32,0.0,NO,NO,NO,https://es.wallapop.com/app/user/viankaf-230809112-9jdx2g9wwnzk/published,['https://cdn.wallapop.com/images/10420/eo/9j/__/c10420p887282060/i3214317111.jpg?pictureSize=W640']
