Valoraciones,Estrellas,Precio,Fecha subida,Estado,Envio,Vendido Fecha,Tiempo de venta,Categoria_Bicicletas,Categoria_Coleccionismo,Categoria_Construccion,Categoria_Electrodomésticos,Categoria_Hogar y jardin,Categoria_Niños y bebés,Categoria_Otros,Categoria_antiguo,Categoria_lote,Categoria_urge,Categoria_vintage
49.0,5.0,10.0,2023-03-13,0.0,1,2023-04-01,19,0,1,0,0,0,0,0,0,0,0,0
667.0,5.0,10.0,2023-03-13,1.0,1,2023-04-01,19,0,0,0,0,0,0,0,1,0,0,0
49.0,5.0,10.0,2023-03-13,0.0,1,2023-04-01,19,0,0,0,0,0,0,0,0,1,0,0
6.0,5.0,24.99,2023-03-06,1.0,1,2023-04-01,26,1,0,0,0,0,0,0,0,0,0,0
8.0,5.0,250.0,2023-03-06,2.0,1,2023-04-01,26,0,0,0,0,0,0,1,0,0,0,0
277.0,5.0,3.0,2023-03-05,2.0,1,2023-04-01,27,0,0,0,0,0,0,1,0,0,0,0
29.0,5.0,20.0,2023-03-05,3.0,1,2023-04-01,27,0,0,0,0,0,0,1,0,0,0,0
6.0,5.0,10.0,2023-03-03,2.0,1,2023-04-01,29,0,1,0,0,0,0,0,0,0,0,0
83.0,5.0,5.0,2023-03-03,2.0,1,2023-04-01,29,0,0,0,0,0,1,0,0,0,0,0
12.0,5.0,200.0,2023-03-03,1.0,0,2023-04-01,29,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,7.5,2023-03-06,2.0,1,2023-03-28,22,0,0,0,0,0,0,1,0,0,0,0
19.0,5.0,300.0,2023-03-13,3.0,1,2023-03-26,13,0,0,1,0,0,0,0,0,0,0,0
28.0,5.0,90.0,2023-03-13,3.0,1,2023-03-26,13,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,24.0,2023-03-06,1.0,1,2023-03-26,20,0,0,0,0,0,0,1,0,0,0,0
298.0,5.0,8.0,2023-03-06,1.0,1,2023-03-26,20,0,0,1,0,0,0,0,0,0,0,0
